data_id,title,authors,year,type,venue,DOI,relevance_note,,,,,
1,Large Language Models for Supply Chain Optimization,Beibin Li; Konstantina Mellou; Bo Zhang; Jeevan Pathuri; Ishai Menache,2023,Paper,arXiv,arXiv:2307.03875v2,"Proposes an LLM-mediated interface (OptiGuide) over combinatorial optimization to answer what-if questions and explain optimization outcomes, targeting interpretability and trust in decision support.",,,,,
2,Hybrid LLM/Rule-based Approaches to Business Insights Generation from Structured Data,Aliaksei Vertsel; Mikhail Rumiantsau,2024,Paper,arXiv,arXiv:2404.15604v1,"Explores hybrid LLM + rule-based systems for generating actionable BI insights from structured data, relevant to grounding, controllability, and reducing hallucinations in enterprise analytics.",,,,,
3,Harnessing Business and Media Insights with Large Language Models,Yujia Bao; Ankit Parag Shah; Neeru Narang; Jonathan Rivers; Rajeev Maksey; Lan Guan; Louise N. Barrere; Shelley Evenson; Rahul Basole; Connie Miao; Ankit Mehta; Fabien Boulay; Su Min Park; Natalie E. Pearson; Eldhose Joy; Tiger He; Sumiran Thakur; Koustav Ghosal; Josh On; Phoebe Morrison; Tim Major; Eva Siqi Wang; Gina Escobar; Jiaheng Wei; Tharindu Cyril Weerasooriya; Queena Song; Daria Lashkevich; Clare Chen; Gyuhak Kim; Dengpan Yin; Don Hejna; Mo Nomeli; Wei Wei,2024,Paper,arXiv,arXiv:2406.06559v1,Introduces a domain-focused LLM system for business/media analytics; useful as an example of enterprise retrieval/curation patterns and evaluation considerations for reliable insight generation.,,,,,
4,"AI Agents-as-Judge: Automated Assessment of Accuracy, Consistency, Completeness and Clarity for Enterprise Documents",Sudip Dasgupta; Himanshu Shankar,2025,Paper,arXiv,arXiv:2506.22485v1,"Evaluates agentic LLMs as automated “judges” for enterprise documents along multiple quality axes, informing Phase 2 evaluation design (accuracy/consistency/completeness/clarity).",,,,,
5,Enhancing Business Analytics through Hybrid Summarization of Financial Reports,Tohida Rehman,2026,Paper,arXiv,arXiv:2601.09729v1,"Presents hybrid extractive–abstractive financial summarization with an emphasis on factual reliability, providing techniques and metrics relevant to faithfulness-focused generation.",,,,,
6,The Dark Side of AI Transformers: Sentiment Polarization & the Loss of Business Neutrality by NLP Transformers,Prasanna Kumar,2026,Paper,arXiv,arXiv:2601.15509v1,"Discusses risks of transformer-based NLP in sentiment/business settings (e.g., polarization/neutrality issues), motivating governance and trust constraints in enterprise deployments.",,,,,
7,Can LLMs Clean Up Your Mess? A Survey of Application-Ready Data Preparation with LLMs,Wei Zhou; Jun Zhou; Haoyu Wang; Zhenghao Li; Qikang He; Shaokun Han; Guoliang Li; Xuanhe Zhou; Yeye He; Chunwei Liu; Zirui Tang; Bin Wang; Shen Tang; Kai Zuo; Yuyu Luo; Zhenzhe Zheng; Conghui He; Jingren Zhou; Fan Wu,2026,Paper,arXiv,arXiv:2601.17058v1,"Survey of LLM-supported data preparation (cleaning, integration, profiling, labeling), directly relevant to building/maintaining your RAG corpus and ensuring reproducible ingestion pipelines.",,,,,
8,Harnessing Large Language Models for Precision Querying and Retrieval-Augmented Knowledge Extraction in Clinical Data Science,Juan Jose Rubio Jan; Jack Wu; Julia Ive,2026,Paper,arXiv,arXiv:2601.20674v1,"Applies LLMs to structured querying and a RAG pipeline for clinical text extraction, offering a close analog to your Phase 2 baseline (retrieval, extraction, and evaluation).",,,,,
9,CARE-RFT: Confidence-Anchored Reinforcement Finetuning for Reliable Reasoning in Large Language Models,Shuozhe Li; Jincheng Cao; Bodun Hu; Aryan Mokhtari; Leqi Liu; Amy Zhang,2026,Paper,arXiv,arXiv:2602.00085v1,"Studies the trade-off between reasoning gains and trustworthiness under reinforcement finetuning and proposes confidence-anchored regularization, informing reliability and calibration discussions.",,,,,
10,"LLMs as High-Dimensional Nonlinear Autoregressive Models with Attention: Training, Alignment and Inference",Vikram Krishnamurthy,2026,Paper,arXiv,arXiv:2602.00426v1,"Provides an equation-level mathematical framing of LLM training/alignment/inference, useful for grounding system design choices and failure analysis in a formal perspective.",,,,,
11,Hallucination is a Consequence of Space-Optimality: A Rate-Distortion Theorem for Membership Testing,Anxin Guo; Jingwei Li,2026,Paper,arXiv,arXiv:2602.00906v4,"Develops a theoretical account linking hallucination on “random facts” to memory-efficiency limits, helping explain why some ungrounded errors persist even with better prompting.",,,,,
12,From Sycophancy to Sensemaking: Premise Governance for Human–AI Decision Making,Raunak Jain; Mudita Khurana; John Stephens; Srinivas Dharmasanam; Shankar Venkataraman,2026,Paper,arXiv,arXiv:2602.02378v1,"Proposes “premise governance” to reduce sycophancy and support auditable decisions, aligning with traceability + trust behaviors you’ll need in RAG.",,,,,
13,Prototype Transformer: Towards Language Model Architectures Interpretable by Design,Yordan Yordanov; Matteo Forasassi; Bayar Menzat; Ruizhi Wang; Chang Qi; Markus Kaltenberger; Amine M’Charrak; Tommaso Salvatori; Thomas Lukasiewicz,2026,Paper,arXiv,arXiv:2602.11852v1,"Introduces a self-attention alternative using prototypes to improve interpretability and robustness analysis, relevant to understanding/mitigating opaque failure modes such as hallucination.",,,,,
14,Olmix: A Framework for Data Mixing Throughout LM Development,Mayee F. Chen; Tyler Murray; David Heineman; Matt Jordan; Hannaneh Hajishirzi; Christopher Ré; Luca Soldaini; Kyle Lo,2026,Paper,arXiv,arXiv:2602.12237v1,"Studies practical data-mixing design choices and domain-set evolution during LM development, offering patterns for corpus curation decisions and reproducible dataset management.",,,,,
15,HalluClean: A Unified Framework to Combat Hallucinations in LLMs,Yaxin Zhao; Yu Zhang,2026,Paper,arXiv,arXiv:2511.08916v1,"Proposes a task-agnostic, prompt-based detect-and-revise pipeline (planning/execution/revision) to reduce hallucinated content without external knowledge, directly relevant to hallucination mitigation.",,,,,
16,Intelligent Identification and Decision Support System for TBM Construction Risk Synergistically Driven by Knowledge Graphs and Large Language Models,YongKun Li; Yin Bo,2026,Paper,arXiv,doi:10.61784/wjer3073,"Example of combining a knowledge graph with an LLM for risk identification/decision support, illustrating how structured knowledge can constrain generation and reduce hallucination in a domain system.",,,,,
