source_id,title,authors,year,type,venue,link_or_doi,relevance_note,raw_path,text_path,sha256,num_pages,num_chars,ingested_at
S001,Large Language Models for Supply Chain Optimization,Beibin Li; Konstantina Mellou; Bo Zhang; Jeevan Pathuri; Ishai Menache,2023,Paper,arXiv,arXiv:2307.03875v2,"Proposes an LLM-mediated interface (OptiGuide) over combinatorial optimization to answer what-if questions and explain optimization outcomes, targeting interpretability and trust in decision support.",data/raw/2307.03875v2.pdf,data/processed/S001.txt,eaea9b8b30ecd846ffa0083a52fdb24478228514f1896a6abe7df28e69a15ead,30,67110,2026-03-02T03:18:17.432658+00:00
S002,Hybrid LLM/Rule-based Approaches to Business Insights Generation from Structured Data,Aliaksei Vertsel; Mikhail Rumiantsau,2024,Paper,arXiv,arXiv:2404.15604v1,"Explores hybrid LLM + rule-based systems for generating actionable BI insights from structured data, relevant to grounding, controllability, and reducing hallucinations in enterprise analytics.",data/raw/2404.15604v1.pdf,data/processed/S002.txt,53abcb2bf9063343dadd2e4860bb88bd01f34ee0f3831c374b58c9d7e2f49247,28,56717,2026-03-02T03:18:17.432658+00:00
S003,Harnessing Business and Media Insights with Large Language Models,Yujia Bao; Ankit Parag Shah; Neeru Narang; Jonathan Rivers; Rajeev Maksey; Lan Guan; Louise N. Barrere; Shelley Evenson; Rahul Basole; Connie Miao; Ankit Mehta; Fabien Boulay; Su Min Park; Natalie E. Pearson; Eldhose Joy; Tiger He; Sumiran Thakur; Koustav Ghosal; Josh On; Phoebe Morrison; Tim Major; Eva Siqi Wang; Gina Escobar; Jiaheng Wei; Tharindu Cyril Weerasooriya; Queena Song; Daria Lashkevich; Clare Chen; Gyuhak Kim; Dengpan Yin; Don Hejna; Mo Nomeli; Wei Wei,2024,Paper,arXiv,arXiv:2406.06559v1,Introduces a domain-focused LLM system for business/media analytics; useful as an example of enterprise retrieval/curation patterns and evaluation considerations for reliable insight generation.,data/raw/2406.06559v1.pdf,data/processed/S003.txt,44794e0d63543b4bbab089ed2fdcaf5d66b68e6e7b762d76c2a16e1d0b2bf64f,21,78608,2026-03-02T03:18:17.432658+00:00
S004,"AI Agents-as-Judge: Automated Assessment of Accuracy, Consistency, Completeness and Clarity for Enterprise Documents",Sudip Dasgupta; Himanshu Shankar,2025,Paper,arXiv,arXiv:2506.22485v1,"Evaluates agentic LLMs as automated ÒjudgesÓ for enterprise documents along multiple quality axes, informing Phase 2 evaluation design (accuracy/consistency/completeness/clarity).",data/raw/2506.22485v1.pdf,data/processed/S004.txt,3ee7a41cc590e6b8366098bba339958ecf9001235324191f52a98bc13f2c8e6d,17,33541,2026-03-02T03:18:17.432658+00:00
S005,Enhancing Business Analytics through Hybrid Summarization of Financial Reports,Tohida Rehman,2026,Paper,arXiv,arXiv:2601.09729v1,"Presents hybrid extractiveÐabstractive financial summarization with an emphasis on factual reliability, providing techniques and metrics relevant to faithfulness-focused generation.",data/raw/2601.09729v1.pdf,data/processed/S005.txt,a4671944c53e856129a3246d4836da0e0dacc88ff25c1b1695804c6a957d3fdf,12,35188,2026-03-02T03:18:17.432658+00:00
S006,The Dark Side of AI Transformers: Sentiment Polarization & the Loss of Business Neutrality by NLP Transformers,Prasanna Kumar,2026,Paper,arXiv,arXiv:2601.15509v1,"Discusses risks of transformer-based NLP in sentiment/business settings (e.g., polarization/neutrality issues), motivating governance and trust constraints in enterprise deployments.",data/raw/2601.15509v1.pdf,data/processed/S006.txt,3c887cd0ce0527e0b3da239511133baa8ecf93dd2305203115e258b6ad8e794a,10,33048,2026-03-02T03:18:17.432658+00:00
S007,Can LLMs Clean Up Your Mess? A Survey of Application-Ready Data Preparation with LLMs,Wei Zhou; Jun Zhou; Haoyu Wang; Zhenghao Li; Qikang He; Shaokun Han; Guoliang Li; Xuanhe Zhou; Yeye He; Chunwei Liu; Zirui Tang; Bin Wang; Shen Tang; Kai Zuo; Yuyu Luo; Zhenzhe Zheng; Conghui He; Jingren Zhou; Fan Wu,2026,Paper,arXiv,arXiv:2601.17058v1,"Survey of LLM-supported data preparation (cleaning, integration, profiling, labeling), directly relevant to building/maintaining your RAG corpus and ensuring reproducible ingestion pipelines.",data/raw/2601.17058v1.pdf,data/processed/S007.txt,e7127aec12867cb644a1734fe032a8e561b07a91b21c26056bce21043c130590,20,136699,2026-03-02T03:18:17.432658+00:00
S008,Harnessing Large Language Models for Precision Querying and Retrieval-Augmented Knowledge Extraction in Clinical Data Science,Juan Jose Rubio Jan; Jack Wu; Julia Ive,2026,Paper,arXiv,arXiv:2601.20674v1,"Applies LLMs to structured querying and a RAG pipeline for clinical text extraction, offering a close analog to your Phase 2 baseline (retrieval, extraction, and evaluation).",data/raw/2601.20674v1.pdf,data/processed/S008.txt,800d1aef9a9fd6592eb82fc387b1ded5926fbc7a5b5be6694793f18734067413,11,23977,2026-03-02T03:18:17.432658+00:00
S009,CARE-RFT: Confidence-Anchored Reinforcement Finetuning for Reliable Reasoning in Large Language Models,Shuozhe Li; Jincheng Cao; Bodun Hu; Aryan Mokhtari; Leqi Liu; Amy Zhang,2026,Paper,arXiv,arXiv:2602.00085v1,"Studies the trade-off between reasoning gains and trustworthiness under reinforcement finetuning and proposes confidence-anchored regularization, informing reliability and calibration discussions.",data/raw/2602.00085v1.pdf,data/processed/S009.txt,b70d0fe8c4996360df862e5764978b3099728cb47ff7f622cecb46864fde7697,19,58281,2026-03-02T03:18:17.432658+00:00
S010,"LLMs as High-Dimensional Nonlinear Autoregressive Models with Attention: Training, Alignment and Inference",Vikram Krishnamurthy,2026,Paper,arXiv,arXiv:2602.00426v1,"Provides an equation-level mathematical framing of LLM training/alignment/inference, useful for grounding system design choices and failure analysis in a formal perspective.",data/raw/2602.00426v1.pdf,data/processed/S010.txt,e08a38a668e143f19cca509628e47f6847626354d1e94d927e38c054b7fc4cab,28,86207,2026-03-02T03:18:17.432658+00:00
